           1.75	     0.99999518	 -1.3998556e-05
           1.76	     0.99999504	 -1.4002299e-05
           1.77	      0.9999949	 -1.4004654e-05
           1.78	     0.99999476	 -1.4005615e-05
           1.79	     0.99999462	 -1.4005176e-05
            1.8	     0.99999448	 -1.4003332e-05
           1.81	     0.99999434	 -1.4000078e-05
           1.82	      0.9999942	  -1.399541e-05
           1.83	     0.99999406	 -1.3989322e-05
           1.84	     0.99999392	 -1.3981809e-05
           1.85	     0.99999378	 -1.3972867e-05
           1.86	     0.99999364	 -1.3962492e-05
           1.87	      0.9999935	 -1.3950678e-05
           1.88	     0.99999336	 -1.3937423e-05
           1.89	     0.99999322	 -1.3922721e-05
            1.9	     0.99999308	 -1.3906569e-05
           1.91	     0.99999294	 -1.3888963e-05
           1.92	     0.99999281	 -1.3869899e-05
           1.93	     0.99999267	 -1.3849374e-05
           1.94	     0.99999253	 -1.3827384e-05
           1.95	     0.99999239	 -1.3803926e-05
           1.96	     0.99999225	 -1.3778996e-05
           1.97	     0.99999211	 -1.3752592e-05
           1.98	     0.99999198	 -1.3724711e-05
           1.99	     0.99999184	  -1.369535e-05
              2	      0.9999917	 -1.3664506e-05
           2.01	     0.99999157	 -1.3632176e-05
           2.02	     0.99999143	  -1.359836e-05
           2.03	      0.9999913	 -1.3563053e-05
           2.04	     0.99999116	 -1.3526255e-05
           2.05	     0.99999102	 -1.3487963e-05
           2.06	     0.99999089	 -1.3448176e-05
           2.07	     0.99999076	 -1.3406891e-05
           2.08	     0.99999062	 -1.3364107e-05
           2.09	     0.99999049	 -1.3319824e-05
            2.1	     0.99999036	 -1.3274039e-05
           2.11	     0.99999022	 -1.3226752e-05
           2.12	     0.99999009	 -1.3177962e-05
           2.13	     0.99998996	 -1.3127667e-05
           2.14	     0.99998983	 -1.3075868e-05
           2.15	      0.9999897	 -1.3022564e-05
           2.16	     0.99998957	 -1.2967754e-05
           2.17	     0.99998944	 -1.2911439e-05
           2.18	     0.99998931	 -1.2853618e-05
           2.19	     0.99998918	 -1.2794291e-05
            2.2	     0.99998905	 -1.2733459e-05
           2.21	     0.99998893	 -1.2671122e-05
           2.22	      0.9999888	 -1.2607281e-05
           2.23	     0.99998867	 -1.2541937e-05
           2.24	     0.99998855	  -1.247509e-05
           2.25	     0.99998842	 -1.2406741e-05
           2.26	      0.9999883	 -1.2336891e-05
           2.27	     0.99998818	 -1.2265543e-05
           2.28	     0.99998806	 -1.2192697e-05
           2.29	     0.99998793	 -1.2118355e-05
            2.3	     0.99998781	 -1.2042519e-05
           2.31	     0.99998769	 -1.1965191e-05
           2.32	     0.99998757	 -1.1886372e-05
           2.33	     0.99998746	 -1.1806066e-05
           2.34	     0.99998734	 -1.1724275e-05
           2.35	     0.99998722	 -1.1641001e-05
           2.36	     0.99998711	 -1.1556247e-05
           2.37	     0.99998699	 -1.1470016e-05
           2.38	     0.99998688	 -1.1382311e-05
